도서관코드,시도,시군구,취약계층서비스이용수_합계,취약계층서비스이용수_장애인,취약계층서비스이용수_노인,취약계층서비스이용수_다문화,취약계층관련예산_합계,취약계층관련예산_장애인,취약계층관련예산_노인,취약계층관련예산_다문화,취약계층공간_장애인,취약계층공간_노인,취약계층공간_다문화,어린이실,어린이서비스_이용수,어린이자료_인쇄수
2060141238,경기,의정부시,106,106,0,0,0,0,0,0,자료실내 코너,미설치,미설치,무,2500,18774
2060141276,경기,의정부시,36195,275,1250,34670,14400,0,0,14400,자료실내 코너,미설치,미설치,무,11376,50972
2060141263,경기,의정부시,4368,104,4264,0,2000,2000,0,0,미설치,미설치,미설치,유,339,3762
2060141066,경기,의정부시,12264,820,8283,3161,1902,0,0,1902,자료실내 코너,자료실내 코너,별도 자료실,유,16028,46824
2060123037,인천,동구,0,0,0,0,0,0,0,0,미설치,미설치,미설치,무,2641,1177
2060141046,경기,이천시,3,1,2,0,4490,690,3800,0,자료실내 코너,미설치,미설치,유,1965,42970
2060142041,강원,인제군,0,0,0,0,0,0,0,0,자료실내 코너,미설치,미설치,유,11390,8444
2060145016,전북,군산시,620,295,325,0,0,0,0,0,미설치,자료실내 코너,미설치,유,814,15001
2060146035,전남,무안군,5809,1590,4050,169,57177,11060,26436,19681,별도 자료실,자료실내 코너,자료실내 코너,유,196624,86852
2050145015,전북,정읍시,2882,6,2876,0,0,0,0,0,자료실내 코너,자료실내 코너,미설치,유,4161,16679
2060149001,제주,제주시,2247,986,967,294,34564,21000,4664,8900,자료실내 코너,자료실내 코너,자료실내 코너,유,90043,64964
20601110073,서울,성북구,2412,42,2173,197,5619,246,4280,1093,자료실내 코너,자료실내 코너,자료실내 코너,유,42892,36147
2060144023,충남,천안시,1625,45,1580,0,18273,3219,15054,0,자료실내 코너,자료실내 코너,미설치,유,18669,29948
2060143033,충북,청주시,1648,599,742,307,6533,2485,1979,2069,자료실내 코너,자료실내 코너,자료실내 코너,유,38457,28112
2060141070,경기,파주시,2254,18,2188,48,8340,0,8340,0,자료실내 코너,자료실내 코너,자료실내 코너,유,7659,73432
2060141242,경기,하남시,18675,126,17735,814,29897,0,24897,5000,자료실내 코너,미설치,자료실내 코너,유,133483,52356
2060141227,경기,하남시,131,0,126,5,4500,0,1000,3500,미설치,자료실내 코너,자료실내 코너,유,20794,28303
2060141050,경기,하남시,7822,641,7033,148,10075,1535,5540,3000,자료실내 코너,미설치,미설치,유,9376,63272
