도서관코드,도서관_부지면적,도서관_건물_연면적,도서관_서비스_제공면적,총좌석수,어린이_열람석,노인및장애인_열람석
2030821001,4187.23,414,414,42,　,0
2060848010,1021.2,1463.44,1038,170,　,5
2060811001,1140,1361.88,971.27,113,　,3
2060822001,1008.75,1380.76,657.28,80,　,2
2060811016,378,252.91,179.93,56,　,2
2060811017,1500,1489.27,811.22,120,　,2
2060831002,371.48,371.48,284.77,122,　,0
2060846002,3721,2177,622.47,108,　,0
2030841001,15042,427,383,120,　,0
2060823010,319.4,365,342.36,70,　,0
2060823001,1300,926.21,653.41,120,　,0
2050825001,3215,2318.55,1591.15,302,　,2
2020125001,859.5,560,488.08,150,　,0
2060822002,700,1793,1232,91,　,2
2060844003,24618,2914.88,710.18,245,　,0
2060811006,700,1273.17,825.37,250,　,0
2060846001,4204.4,1890.62,1216.62,315,　,0
2060841004,1398,3280,1870,230,　,2
2060831003,12896.7,533.23,335,113,　,0
2060824002,3851,814.12,714.01,120,　,10
2060811025,1106,416.47,367.7,100,　,0
2060811029,496,483.82,428.52,16,　,0
2060821001,636,1091,572,88,　,0
2060821004,22770.2,827.95,461.81,90,　,0
2060841017,1030,997,644,85,　,0
2060845001,1687,1274,1130,80,　,0
2060843002,4895,1069.53,591.77,180,　,1
2060848002,2504.8,842.08,390.53,200,　,0
2060847001,1822,1120.8,606.72,65,　,3
2060843001,4209.1,968.53,632.67,248,　,2
2060811030,1261,1990.3,331.43,127,　,0
2060843005,4975.5,496.78,496.78,21,　,1
2060842001,1169,882.26,750.26,120,　,12
2030841002,1362,355,355,60,　,0
2060811015,256.99,346.34,316.99,80,　,0
2030848001,600,309.11,280.99,100,　,2
2060811005,1100,855,591,244,　,3
2060111045,869.7,1497.59,998.07,272,　,2
2060111043,1544,444,365,105,　,3
2060841003,1612.5,2666,1496,324,　,0
2060848007,15629,904.52,538.92,58,　,0
2060811022,1500,995.69,530.37,180,　,0
2060849002,16190,911,537,80,　,2
2060811026,29682.2,445,437.13,70,　,2
2060821007,2640,949.97,448.57,125,　,0
2060841001,5100,2565,1779,314,　,0
2060811023,693.68,693.68,625,110,　,3
2060841023,6392,3539,1057,200,　,1
2060849001,2126,728.21,378.12,100,　,0
2060811014,1021,977.8,872.99,303,　,10
2060841002,4107,2447,1287,303,　,1
2060841008,3050,2687,1321,220,　,0
2060823017,531.03,385.84,369.1,48,　,2
2060848008,60.9,265.34,190,80,　,0
2060821002,3276.4,2009.5,70,10,　,0
2060841016,11168,2158,331,280,　,1
2060811032,1506.7,696.86,267.35,73,　,1
2060848011,7006,1228.5,987.9,135,　,1
2060811012,578,274,226.62,65,　,0
2060821006,1426,842.55,499.05,90,　,2
2060811021,3704,373,334,68,　,8
2060823011,908,1702,1403,184,　,15
2060811019,541,772,613,80,　,0
2060847002,4850,2176.96,1139.32,223,　,1
2060841006,3192,2018,788,250,　,2
2060124010,2268,1398,1113,200,　,13
2060811031,216.8,368.91,336,0,　,0
2060831001,891,767.88,433.05,172,　,0
2060822005,2560,976.73,451.66,122,　,1
2060822004,642,307,198,40,　,1
2060811013,880,441,337,50,　,0
2060811008,287.9,719.69,361.47,82,　,0
2060811024,18571.52,269.93,203.74,71,　,4
2060841022,3602,10560,1277,264,　,0
2060841024,8046,6273,1486.24,740,　,0
2060849003,14926,1317,597,130,　,2
2060848001,1429.5,1112.14,585.64,182,　,2
2060843003,1236,990,392,121,　,5
2060841018,1796,2187,1339,209,　,1
2060841010,1500,2050,1778,94,　,4
2060841012,1050,1688,1356,134,　,3
2060841011,1002,1688,1316,110,　,1
2060845003,860,1454,901.99,168,　,2
2060841005,3730,2196,1956,441,　,0
2060841027,520,1782,805,204,　,11
2060841020,1508.6,999.02,633.68,72,　,0
2060821003,806.05,905.85,617.78,128,　,0
2050823001,14815,10267,4518,90,　,20
2050811001,6611.5,3796.63,3646,356,　,5
2060844002,71952,1815.47,1623.81,270,　,1
2060841026,10222,729,640,100,　,2
2060841015,13593,1628,699,100,　,5
2060841021,47003,1619,804,78,　,2
